,text,user
183,@realDonaldTrump https://t.co/KkM2B1hrIg,kinaay
184,"@realDonaldTrump You may want to learn what it takes to change the US Constitution. But that would require reading,… https://t.co/ew4iCqwnhh",gshifrin
185,@realDonaldTrump OAN says this? https://t.co/1r1ic92NVz,COsteelmagnolia
186,@realDonaldTrump Eric is a plastic surgery loving #bootlicker who uses the same orange makeup as his favorite president.,TrumpsterFried
187,@realDonaldTrump @DonaldJTrumpJr @TomFitton @SpeakerPelosi @SenKamalaHarris @JoeBiden @OANN @MariaBartiromo @MSNBC… https://t.co/GQEl4UQr2P,LiteSeeker18
188,@realDonaldTrump Stop lying dude!,RuanLotter
189,RT @eugenegu: @realDonaldTrump Trump wants to help the top 1% with trillions of dollars in corporate welfare while giving everyone else jus…,andbeemn
190,"@realDonaldTrump Tell us about your secret Chinese bank account, Conald! We’re waiting.",KacieAbrigos
191,@realDonaldTrump https://t.co/gFmneRg4VJ,Toplinesman
192,@realDonaldTrump The Joe Biden &amp; Harris plan won't increase taxes on anyone making less than $400K. The super-wealt… https://t.co/UnYt9YiexR,MaureenLS
193,"@realDonaldTrump Maybe your pocket economy, but for the majority, not so much...",genxerAEF68
194,@realDonaldTrump #Vote Biden,nkbramer
195,"@realDonaldTrump I don’t make $400k a year so I’m good. Oh how your fearmongering is hiliarious, lying delusional d… https://t.co/MqLRGeythh",stkydesrt
196,@realDonaldTrump Remember that @realDonaldTrump is a liar.  Joe Biden will NOT raise taxes on anyone making less th… https://t.co/h8UVLprA3f,kitnlov1
197,@realDonaldTrump I don’t make over 400K. So won’t raise my taxes.,zoofooyo
198,@realDonaldTrump why not show the complete answer.  this ad is like trumps entire life deceitful,rsmack123
199,@realDonaldTrump @AmericaNowRadio @FoxNews ratioed by nothing,Krazzf
200,@realDonaldTrump FAKE SHIT = FAKE PRESIDENT,Pinny1980
201,@realDonaldTrump This dunce in the Whte House likely could not quote the 2nd from memory.,a_sklena
202,"@realDonaldTrump . I have an idea and this would work for you First, make a deal with Pence. You resign,  he become… https://t.co/MngcAcwx8s",rainsonglta
203,RT @PissedOffLawyer: @realDonaldTrump @BreitbartNews You have repeatedly proposed cutting billions from Social Security. Did you forget abo…,JMDelga82664720
204,"@realDonaldTrump We make less, BUT paid more than you did in taxes.  🖕🏼",LadyOnTheWater_
205,"@realDonaldTrump Bring it, Grumpy.",lewbryson
206,@realDonaldTrump Biden shouldnt be allowed to run for office. He is a crook and was a party to selling the vice pres. office. Shameful,bxmommy43
207,"@realDonaldTrump *Sign*, only if you make over 400K",Moormcat19
208,@realDonaldTrump I think it's safe to say the deceased voters did not return their ballots.,AnyMINI007
209,@realDonaldTrump https://t.co/uSpWTvYw6q,lizzylaclair
210,@realDonaldTrump https://t.co/D26GTxxf4a,krablegg
211,@realDonaldTrump https://t.co/EFHcABXxip,anyoontalent
212,@realDonaldTrump Trump's tweet is yet another LIE. Reporting to Twitter!,bk9net
213,@realDonaldTrump Why have you paid more tax to the Chinese than the US?,jdaveoc
214,"@realDonaldTrump where's out stimulus funds, stop already,  we need help",AndrewSize6
215,@realDonaldTrump https://t.co/8S0XjprdaK,Arkady360
216,@realDonaldTrump @WhiteHouse   No National Plan More deaths https://t.co/5kGzhaXMUX,SheilaUtz1
217,"@realDonaldTrump @BreitbartNews Asked and answered many times, including by GOP investigators. While you’re at it,… https://t.co/XMP5181TEW",ElaineSharon245
218,@realDonaldTrump Please go ahead and post the video. We are waiting.,JackieFortin362
219,@realDonaldTrump Why does Trump think it’s cool to tweet a video of him getting off a plane??,CrystalWillow13
220,@realDonaldTrump #trumpownedbychina. So how much tax did you pay in China on your hidden bank accounts?,buzzearth
221,@realDonaldTrump https://t.co/gk6SMvoo8t,teuta4u1
222,@realDonaldTrump Might wanna put your boy in check: https://t.co/STru4hRzom,Rotgarg
223,@realDonaldTrump Bitch u had 4 years for that,YazenAbukhaled
224,@realDonaldTrump STFU,man_a_ger_nofx
225,"@realDonaldTrump Well, I hope he raises YOURS.",KalinkaDirndl
226,@realDonaldTrump https://t.co/uR3iqzEL5I,EvansWefixbikes
227,"@realDonaldTrump Vote safely my fellow Virginians. Your numbers for Covid aren't good in VA Beach, not made better… https://t.co/LodPo5oWJU",chase12111
228,"RT @HaefeleJohn: @realDonaldTrump I’m old enough to remember when Trump colluded with Russia, killed 226,204 Americans, allowed Russian bou…",katz_vern
229,@realDonaldTrump 😹😹😹😹😹😹😹😹😹😹you are so pathetic!,Zekesgirl1959
230,RT @scientificrealm: @realDonaldTrump https://t.co/nn41t8mGhm,Janice36905629
231,@realDonaldTrump And you’ve added trillions of dollars to the national debt.  How very republican of you.  Somehow… https://t.co/ARlxlnxF0V,HiddenKarl
232,@realDonaldTrump You lie because you can't stand to lose,rhondab131love
233,@realDonaldTrump https://t.co/nV6BkSlnuf,teeejaaaayyy
234,@realDonaldTrump Liar in chief...made his rich cronies billionaires during a pandemic .45 is a liar,cvmaal1
235,@realDonaldTrump https://t.co/9cXyhIwREa,thomaslavia
236,@realDonaldTrump Voting Trump will be the end of the USA economy and tens of thousands more Covid deaths.,BTTS89527417
237,"RT @itsJeffTiedrich: @realDonaldTrump fact check: raise your hand if you make less than $400,000.00 a year. congratulations, Joe Biden is n…",wordsofreason_1
238,@realDonaldTrump @BreitbartNews Trump keeps attacking Hunter Biden as his own kids are accused of corruption. https://t.co/dY8UyWelWt,William08111376
239,RT @johnpavlovitz: @realDonaldTrump Go fact yourself.  https://t.co/3gazxCZTo5,kenny_labbe
240,@realDonaldTrump You always accuse others of what you are guilty of. https://t.co/TmgAkHvngQ,AngieGr60130939
241,@realDonaldTrump BIDEN https://t.co/95xLMiwFMI,ds21dsc21
242,@realDonaldTrump What is up with the #TrumpChinaBankAccount and the fact you paid more #TrumpChinaTaxes than in the US?,FlorianCS1
243,@realDonaldTrump https://t.co/v2nBzWCqkR,kinaay
244,@realDonaldTrump https://t.co/2TmKg0oMKd,bugsysegal24
245,@realDonaldTrump Did you say Taxes? https://t.co/udwlPu2hKv,GaryBla67480087
246,@realDonaldTrump Please do something FAST about the ongoing KILLINGS in Nigeria #LekkitollgateMassacre,VicariusDEI
247,@realDonaldTrump Bullshit,soundgarden76
248,@realDonaldTrump @ProjectLincoln #TyphoidTrump and the super spreaders. His new band coming to a city near you!!!,Boisejones6942
249,@realDonaldTrump @BreitbartNews Next we will find out you owe Saudi Arabia and Turkey.,Michell24826274
250,RT @Phillip2020Vote: @realDonaldTrump A real President will be in Philadelphia today speaking for @JoeBiden🇺🇸 https://t.co/xT66PN5FjB,cpruett27
251,@realDonaldTrump How do you remember all your lies?,mfstern
252,@realDonaldTrump LIAR LIAR pants on fire! https://t.co/ORnNOfTVvq,Theresa80906773
253,RT @LauraDiBella15: @realDonaldTrump Daniel Dale is getting real tired of having to correct you on this donald,SusanClendaniel
254,@realDonaldTrump Raise taxes and the debt like Trump did? Not a chance.  ROTFL,sugarkittyninja
255,@realDonaldTrump I  call bullshit and let them come to Texas and try to take our 2nd amendment rights away God bless Texas,StevenS37046651
256,"RT @Jeff66923777: @realDonaldTrump is now trying to say that @JoeBiden is a criminal.  We all know that #TrumpIsACriminal, conman, tax evad…",Jeff66923777
257,@realDonaldTrump I call bullshit,ipolis7
258,@realDonaldTrump America is already great.  Not sure why you say it’s not great???,wolfgang_frank1
